ID Cliente,Nombre,Edad,Género,Domicilio,Teléfono,Email,Puesto,Estado Civil,Antigüedad (años)
61,Marco Fabra,40,Masculino,"Urbanización de Ana Sofía Mascaró 83 Apt. 06 
Castellón, 20357",+34800 29 88 99,ucarrasco@example.com,Operador de máquinas de vapor y calderas,Viudo,3
62,Evaristo Larrea,54,Masculino,"Callejón Plinio Barrio 582 Piso 7 
Baleares, 41761",+34978 63 23 86,fpellicer@example.com,Analista de sistemas,Divorciado,33
63,Marianela Robledo,53,Femenino,"Ronda Regina Cáceres 316 Puerta 9 
Albacete, 38159",+34 800 70 83 70,mateumaristela@example.org,Cortador de vidrio,Viudo,32
64,Sandra Jordán,60,Femenino,"Glorieta Isabel Arnaiz 2 Piso 8 
Murcia, 15032",+34961 59 75 08,quinterojeronimo@example.org,Operador de instalaciones de producción de energía,Casado,28
65,Purificación Bayona,55,Femenino,"Via Andrea Arévalo 5
Zaragoza, 15187",+34839 124 570,marisara@example.com,Zapatero,Divorciado,28
66,Gema Raya,65,Femenino,"Cañada de Augusto Barrios 984 Apt. 41 
Guipúzcoa, 25671",+34 984 902 728,vilaltavicenta@example.com,Operador de autoelevadoras,Viudo,17
67,Jovita Aragonés,42,Femenino,"Rambla de Carmelita Santiago 839
Salamanca, 17246",+34 824 88 44 81,peiroelias@example.com,Ingeniero en telecomunicaciones,Soltero,14
68,Casandra Gil,40,Femenino,"Urbanización Hector Donoso 760
Alicante, 32656",+34879 635 375,maxilorenzo@example.org,Trabajador agrícola de subsistencia,Divorciado,8
69,Sebastián Grande,59,Masculino,"Pasadizo de Fátima Peiró 40 Piso 3 
Badajoz, 51958",+34900 734 259,atilio36@example.com,Peón de explotaciones ganaderas,Casado,5
70,Gerardo Sarabia,49,Masculino,"Cañada Caridad Guijarro 93
Guipúzcoa, 34643",+34828984172,fbarbero@example.net,Locutor de televisión,Casado,9
71,Guillermo Miranda,51,Masculino,"Vial de Casemiro González 98 Puerta 5 
Huesca, 46491",+34 848 644 294,alcideslujan@example.net,Tenedor de libros,Viudo,21
72,Chuy Pinto,38,Masculino,"Rambla de Blas Puente 83
Guadalajara, 16109",+34847 808 862,elisabelmonte@example.com,Técnico de prótesis médicas y dentales,Viudo,13
73,Lilia Campo,62,Femenino,"Calle de Enrique Vilalta 658 Apt. 94 
Asturias, 37829",+34 947 03 67 75,robertaexposito@example.net,Operador de máquinas lavarropas,Soltero,44
74,Jennifer Español,61,Femenino,"Acceso Severiano Martorell 90 Apt. 11 
Córdoba, 46901",+34 803 16 61 47,hermenegildo72@example.org,Gerente de comercios al por mayor y al por menor,Viudo,24
75,Benito Lastra,47,Masculino,"Camino Pacífica Aliaga 323
Teruel, 23033",+34 821 791 360,qmateo@example.net,Profesional de enfermería,Viudo,9
76,Consuelo Cuesta,51,Femenino,"Alameda de Azahar Llorens 76 Piso 8 
Murcia, 43503",+34926 09 67 91,sorayacal@example.net,Técnico en ingeniería de minas y metalurgia,Viudo,14
77,Gervasio Ramis,52,Masculino,"Ronda de Aitor Barón 76 Piso 1 
Granada, 28974",+34982580665,azahara31@example.net,Reparador de bicicletas,Soltero,31
78,Eustaquio Oller,67,Masculino,"C. Rafaela Saavedra 307
Melilla, 23786",+34828 124 720,ziniesta@example.net,Afinador de instrumentos musicales,Viudo,43
79,Teodora Valenciano,54,Femenino,"Camino Dora Mateo 6 Apt. 35 
Burgos, 33442",+34 923 881 742,aurelio23@example.net,Buzo,Soltero,8
80,Reyna Barros,62,Femenino,"Rambla Ana Sofía Falcó 35 Puerta 3 
Santa Cruz de Tenerife, 11751",+34988 379 291,orivas@example.org,Mecánico-montador de instalaciones de refrigeración y climatización,Soltero,36
81,Efraín Egea,52,Masculino,"Calle Jose Luis Hidalgo 67
Alicante, 12926",+34 849774732,pilar26@example.org,Cobrador,Viudo,8
82,Amílcar Posada,41,Masculino,"Cuesta Juan Carlos Campo 4
Jaén, 37026",+34 841 13 33 28,daniela97@example.org,Reparador de bicicletas,Divorciado,12
83,Américo Lobato,45,Masculino,"Avenida Andrés Felipe Coloma 20 Piso 6 
Burgos, 23149",+34 979857556,zguzman@example.net,Agente de servicios de expedición de licencias y permisos,Viudo,10
84,Heraclio Azcona,51,Masculino,"Urbanización Adelaida Machado 314 Puerta 1 
Melilla, 31979",+34 988 56 36 72,casalsisidoro@example.org,"Gerente de sucursales de bancos, de servicios financieros y de seguros",Soltero,16
85,Angelino Llanos,59,Masculino,"Pasadizo de Dionisio Barranco 62
Zaragoza, 19521",+34843841886,carlosleire@example.org,Capitán decubierta,Divorciado,3
86,Marcelino Barral,29,Masculino,"Via de Teresita Orozco 247 Piso 4 
Soria, 39976",+34980930111,luisareyes@example.com,Auxiliar de maestro,Soltero,10
87,Isidora Becerra,40,Femenino,"Callejón Federico Orozco 4
Ourense, 44409",+34846 59 49 59,gribas@example.com,Inspector de la salud laboral,Soltero,6
88,Ofelia Carbó,40,Femenino,"Cañada de Emiliana Coronado 72
Las Palmas, 17204",+34901 355 119,moreno71@example.org,Técnico de radiodifusión y grabación audio visual,Viudo,4
89,Rosalía Sastre,61,Femenino,"Via de Leonel Malo 4
Teruel, 42969",+34927 207 729,baqueropepe@example.org,Filósofo,Viudo,13
90,Ana Belén Alvarez,48,Femenino,"Alameda de Telmo Pedrosa 90 Apt. 96 
Barcelona, 03801",+34980 68 91 04,tpi@example.org,Profesor de música,Soltero,5
91,Violeta Santos,35,Femenino,"Ronda Marita Perez 51
Huelva, 27387",+34 671022391,salomesans@example.net,Director de políticas y planificación,Soltero,9
92,Flavia Rosales,44,Femenino,"Rambla de Adora Jordán 776 Puerta 0 
Palencia, 02966",+34 928927597,wmanso@example.net,Capitán decubierta,Viudo,18
93,Íñigo Maestre,70,Masculino,"Glorieta de Cecilia Sanchez 44 Apt. 95 
Álava, 11884",+34961 779 362,milagros46@example.org,"Supervisor de mantenimiento y limpieza en oficinas, hoteles y otros establecimientos",Soltero,12
94,Evangelina Borja,65,Femenino,"Acceso de Nieves Nicolás 89
Huesca, 25938",+34849480929,scabezas@example.net,Pescadero,Soltero,15
95,Miguela Berrocal,44,Femenino,"Paseo de Marianela Moles 71 Apt. 14 
Barcelona, 41192",+34 877662125,toni43@example.com,Platero,Soltero,21
96,Vilma Tejero,61,Femenino,"Camino de Amaro Cervantes 8 Puerta 9 
Jaén, 35141",+34 900859313,gastonagustin@example.net,Peluqueros,Divorciado,2
97,Luz Beltrán,67,Femenino,"Plaza de Socorro Álvaro 8
La Rioja, 15019",+34821 49 49 09,prudencio79@example.org,Lavador de vehículos,Soltero,23
98,Rosalinda Cantero,46,Femenino,"C. de Conrado Núñez 416
Palencia, 30700",+34988 16 59 91,jaime97@example.com,Entrenador deportivo,Viudo,0
99,Etelvina Mínguez,31,Femenino,"Cuesta de Pánfilo Jimenez 35
Álava, 10531",+34 880976133,pavonmercedes@example.net,Oficial de las fuerzas armadas,Divorciado,6
100,Georgina Casanova,54,Femenino,"Paseo Guillermo Pintor 452 Piso 3 
Jaén, 29292",+34874 22 29 35,zoraida13@example.com,Afinador de instrumentos musicales,Viudo,9
101,Eligio Alemany,58,Masculino,"Urbanización José Ángel Díaz 88 Puerta 5 
Huelva, 37173",+34 923 82 63 42,qcrespi@example.com,Sericultor,Viudo,17
102,Dionisio Porcel,62,Masculino,"Camino de Cesar Ballester 25 Puerta 5 
Álava, 28409",+34 849 91 42 84,mario37@example.org,Marinero de cubierta,Divorciado,17
103,Paca Carballo,30,Femenino,"Vial de Evelia Aguado 4 Apt. 22 
Badajoz, 13888",+34 827 386 279,bernalnatividad@example.org,Operador de instalaciones de producción de energía,Viudo,4
104,Jesús Asenjo,54,Masculino,"Cañada de Cirino Verdú 27
Cáceres, 20331",+34 900 023 687,dtaboada@example.net,Instalador y reparador de líneas eléctricas,Viudo,36
105,Josué Cobos,56,Masculino,"Rambla Elías Manso 63
Álava, 39447",+34926 73 81 96,dbalaguer@example.net,Técnico en asistencia al usuario de tecnología de la información y las comunicaciones,Casado,20
106,Claudia Ibáñez,47,Femenino,"C. Azahara Adadia 6 Piso 5 
Santa Cruz de Tenerife, 14942",+34 701 37 72 92,lopezmanu@example.org,Instructor en tecnologías de la información,Divorciado,25
107,Faustino Uribe,63,Masculino,"Pasaje Susana Gonzalez 4 Puerta 5 
Toledo, 42436",+34871 931 604,ambrosiotorre@example.org,Director de producción de piscicultura y pesca,Divorciado,44
108,Roxana Sales,58,Femenino,"Camino de Amando González 37 Puerta 7 
Madrid, 37546",+34948 11 40 05,constanza92@example.com,Recolector de leña,Soltero,12
109,Fabricio Elorza,51,Masculino,"Cañada Irma Ortiz 49
Salamanca, 26584",+34 978793553,ealberto@example.net,Regulador y operador de máquinas y herramientas,Casado,31
110,Obdulia Teruel,66,Femenino,"Pasadizo Vanesa Marcos 9 Apt. 15 
Ceuta, 32978",+34 867360567,kmate@example.org,Maquinista de locomotoras,Viudo,45
111,Darío Valera,26,Masculino,"Paseo Dafne Pulido 912
León, 47413",+34822 69 66 24,yustecesar@example.org,Instalador y reparador en tecnología de la información y las comunicaciones,Divorciado,1
112,Modesto Montoya,69,Masculino,"Avenida Máximo Ureña 703
Álava, 13542",+34987177454,selena43@example.net,Director de servicios de cuidados infantiles,Divorciado,15
113,Felipa Calleja,48,Femenino,"Cañada Aristides Tudela 21 Puerta 1 
Tarragona, 29557",+34 843 880 238,benavidesefrain@example.net,Director de empresas de construcción,Divorciado,15
114,Gerardo Arenas,60,Masculino,"Urbanización Ester Lledó 167
Girona, 19796",+34957 52 93 74,dieguezelias@example.com,Asesor de inversiones,Divorciado,21
115,Ileana Manjón,42,Femenino,"Avenida Manolo Font 33
Toledo, 20699",+34 922 635 127,wdominguez@example.com,Trabajador de cuidados personales a domicilio,Divorciado,9
116,Abraham Falcó,37,Masculino,"Rambla de Nico Giralt 35 Apt. 25 
Melilla, 10195",+34 921 897 092,barriosmaite@example.com,Catador de alimentos y bebidas,Soltero,10
117,Ximena Gascón,69,Femenino,"Calle de Santiago Coello 7
Cáceres, 27802",+34878 436 487,oteronoa@example.net,Profesor de formación profesional,Casado,11
118,Atilio Perelló,55,Masculino,"Camino de Geraldo Uribe 65
Badajoz, 13306",+34900 26 12 98,modestoavila@example.org,Profesional de nivel medio en actividades culturales y artísticas,Divorciado,17
119,Vilma Peral,37,Otro,"Cuesta de Julián Gomis 1
Alicante, 01076",+34848 50 73 81,albertofidel@example.com,"Gerente de sucursales de bancos, de servicios financieros y de seguros",Casado,9
120,Ángel Herranz,44,Masculino,"Vial de Olga Mayol 15 Piso 2 
Cádiz, 38398",+34873 29 32 86,benignomorillo@example.com,Capitán decubierta,Casado,0
121,Patricio Milla,28,Masculino,"C. Eligio Pozo 97 Apt. 03 
Palencia, 31334",+34 973 928 920,fbermudez@example.com,Oficial de préstamos y créditos,Divorciado,8
122,María Dolores Gimenez,33,Femenino,"Pasadizo de Valerio Ferreras 13 Apt. 56 
Teruel, 25103",+34 841483333,angel67@example.com,Adivinador,Soltero,15
123,Elba Agustín,61,Femenino,"Alameda Teobaldo Porta 59 Puerta 2 
Cantabria, 06355",+34887 38 86 22,gilcerda@example.com,"Técnico en galerías de arte, museos y bibliotecas",Viudo,18
124,Glauco Sans,46,Masculino,"Acceso Fulgencio Salamanca 44
León, 11106",+34886 27 30 52,valenzuelaaurea@example.net,Director de servicios de cuidados infantiles,Soltero,5
125,Rolando Ayala,55,Masculino,"Alameda Cristian Antúnez 463
Salamanca, 26440",+34930465504,gironalbino@example.com,Operario en cemento armado y enfoscador,Soltero,7
126,Óscar Capdevila,29,Masculino,"Calle Eutropio Batalla 48
Jaén, 24316",+34879 32 04 53,royodionisio@example.net,Electricista de obras,Soltero,9
127,Pelayo Briones,61,Masculino,"Paseo Sandalio Cal 540
Soria, 36206",+34 748942424,nydia34@example.net,"Limpiador y asistente de oficinas, hoteles y otros establecimientos",Soltero,19
128,Jacinto Alemany,32,Otro,"Pasaje Amparo Campillo 28
Segovia, 06688",+34923 80 37 96,aristidesriquelme@example.net,Profesor de artes,Viudo,8
129,Carla Coloma,64,Femenino,"Acceso de Macarena Esparza 52 Puerta 8 
Baleares, 12701",+34849 528 872,inmaculadacastellanos@example.org,Modelador de vidrio,Viudo,14
130,Eleuterio Larrea,53,Masculino,"Avenida José María Zapata 5 Puerta 4 
Valladolid, 24127",+34884653710,cardonarico@example.net,Ingeniero en telecomunicaciones,Viudo,19
131,Eustaquio Diego,64,Masculino,"Acceso de Josefina Valencia 81
Murcia, 46417",+34987080726,elviraballester@example.org,Empleado de contabilidad y cálculo de costos,Soltero,3
132,Marina Fajardo,38,Femenino,"Alameda de Nando Vallejo 34 Apt. 94 
Sevilla, 04625",+34875 75 96 24,ljordan@example.net,Desarrollador de software,Casado,20
133,Silvestre Grande,30,Masculino,"Rambla Mauricio Palomares 57 Puerta 1 
Castellón, 12763",+34943 830 831,gabino87@example.net,Laminador de vidrio,Casado,2
134,Teodoro Barroso,29,Masculino,"Alameda de Judith Trillo 86
Castellón, 37792",+34 902911157,ernestodiez@example.com,Agricultor,Soltero,2
135,Ildefonso Anaya,69,Masculino,"Avenida Valentín Carretero 19 Piso 1 
Málaga, 15403",+34 841 60 59 84,lucenahector@example.net,Auxiliar laico de las religión,Viudo,38
136,Chuy Barberá,39,Masculino,"Vial Julie Lluch 61
Vizcaya, 24502",+34 972 74 98 43,pepeorozco@example.org,Ensamblador de equipos eléctricos,Divorciado,9
137,Paloma Terrón,54,Femenino,"Urbanización Cloe Falcó 87 Apt. 79 
Ceuta, 15042",+34 928126516,wmoya@example.org,Profesional de ventas de tecnología de la información y las comunicaciones,Casado,4
138,Esmeralda Salazar,65,Femenino,"C. de Iván Calvet 297
Cantabria, 02457",+34987301174,bernardallamas@example.net,Guardagujas,Casado,37
139,Emilio Gimeno,59,Masculino,"Acceso Alfonso Bayo 8
Segovia, 18783",+34947198179,silvamelisa@example.net,Personal de pompas fúnebres y embalsamador,Casado,14
140,Olimpia Fortuny,34,Femenino,"Paseo de Guadalupe Fernández 38 Puerta 9 
Málaga, 16862",+34874 69 93 75,folchvasco@example.com,Profesor de idiomas,Soltero,2
141,Mario Ricart,44,Masculino,"Alameda Vera Borrell 171
Baleares, 40275",+34820 170 434,eleuterio61@example.net,Adivinador,Divorciado,19
142,Desiderio Marqués,54,Masculino,"Cañada Albina Valderrama 89 Piso 6 
Málaga, 07562",+34847 35 60 88,vasco57@example.com,Empleado encargado de las nóminas,Viudo,19
143,Lidia Chacón,57,Femenino,"Acceso Víctor Múgica 12 Puerta 9 
Sevilla, 37482",+34 880 526 946,ccalvo@example.org,Controlador de procesos,Viudo,34
144,Guadalupe Amigó,63,Masculino,"Pasaje de Leandra Quintana 9 Puerta 4 
Valladolid, 26473",+34885763750,marc62@example.net,Maleter,Viudo,2
145,Josefa Sierra,63,Femenino,"Ronda Ezequiel Zaragoza 7 Piso 7 
Valladolid, 49121",+34 841 718 250,leonguiomar@example.com,Audiólogo,Soltero,16
146,Nicolás Jiménez,68,Masculino,"Ronda María Jesús Manrique 97 Puerta 4 
Alicante, 46360",+34826 97 75 51,africamartin@example.org,Pescadero,Soltero,36
147,Fanny Parra,68,Otro,"Urbanización de Demetrio Rivas 51 Puerta 7 
Valladolid, 49378",+34803 74 56 89,angela05@example.com,Instalador y reparador en tecnología de la información y las comunicaciones,Soltero,17
148,Olimpia Salamanca,36,Femenino,"Cuesta Susanita Chaparro 85
Burgos, 51916",+34972 81 16 32,amugica@example.com,Cantante,Viudo,15
149,Estefanía Martin,36,Femenino,"Pasadizo de María José Samper 882
Guadalajara, 36208",+34 941644754,kamoros@example.net,Curtidor,Viudo,18
150,Zaida Casares,56,Femenino,"Urbanización de Juan Bautista Bas 81
Málaga, 03814",+34846 234 118,eloy45@example.net,Profesor de idiomas,Viudo,5
151,Antonio Perez,46,Masculino,"Urbanización Candela Bru 26 Puerta 8 
Ourense, 04711",+34875 14 54 43,eutimiocuadrado@example.net,Profesional de relaciones públicas,Soltero,10
152,Clara Ortiz,46,Femenino,"Calle Segismundo Luque 978
Tarragona, 03424",+34921 67 10 57,amador06@example.com,Mecánico y ajustador electricista,Viudo,13
153,Goyo Pinto,50,Masculino,"C. Juan Francisco Valero 4
Tarragona, 07296",+34806 108 730,irenegarzon@example.org,Director de servicios de cuidado de las personas de edad,Viudo,2
154,Francisco Jose Canals,41,Masculino,"Paseo de Lilia Garcés 60
Segovia, 41030",+34 828782699,valeriacastrillo@example.net,Empacador manual,Soltero,10
155,Tiburcio Aguilera,50,Otro,"Ronda de Josefina Fernández 976 Piso 9 
Asturias, 48428",+34986 701 594,bilbaogonzalo@example.com,Ayudante de cocina,Soltero,32
156,Flor Vigil,59,Femenino,"Rambla Danilo Ferrer 335 Piso 1 
Madrid, 37444",+34875 27 31 50,ooller@example.com,Guía de turismo,Viudo,29
157,Leoncio Porta,58,Masculino,"Pasadizo de Carmen Bolaños 522 Puerta 5 
Asturias, 10608",+34920425085,chigueras@example.com,Peón forestales,Viudo,23
158,Delia Sevilla,28,Femenino,"Avenida Chus Rosado 937
Asturias, 18837",+34 972291639,maria-carmen18@example.org,Policías,Divorciado,3
