ID Caso,Fecha,Participante,Rol
118,2022-04-15,Haroldo Pazos Casanovas,Abogado
119,2022-02-21,Evelia Ropero Cervantes,Abogado
120,2021-03-08,Cristian Delgado Arregui,Abogado
121,2024-03-20,Serafina Valenciano Téllez,Abogado
122,2023-09-20,Pepito Jara Miró,Abogado
123,2023-02-01,Dalila del Patiño,Cliente
124,2022-11-26,Fidel Félix Elías Vicente,Cliente
125,2024-03-03,Vinicio Pomares Morcillo,Testigo
126,2023-09-22,Felisa Gargallo,Testigo
127,2022-12-31,Guadalupe Ribes Gimenez,Cliente
128,2022-04-25,Consuela Quirós-Agudo,Testigo
129,2023-04-04,Alcides del Batlle,Testigo
130,2024-06-08,Macaria Carrera Llorens,Abogado
131,2022-04-01,Emigdio Alcalá Granados,Cliente
132,2022-11-23,Tristán de Morillo,Cliente
133,2021-10-22,Ignacio Arrieta Río,Cliente
134,2023-07-31,Montserrat Amigó Llanos,Abogado
135,2022-10-04,Manolo Andreu Garmendia,Abogado
136,2024-04-12,Heliodoro Arrieta,Cliente
137,2021-06-06,Ileana Osuna-Bru,Abogado
138,2024-12-27,Cayetano Gutierrez,Abogado
139,2022-10-12,Osvaldo Diego Sanz,Testigo
140,2024-03-06,Cipriano Asensio,Abogado
141,2023-06-24,Tere Andres Vicente,Cliente
142,2024-05-22,Melania de Pareja,Testigo
143,2021-08-30,Manuel Gonzalez Aliaga,Abogado
144,2024-08-28,Lucía Antonia Amat Almeida,Cliente
145,2022-06-07,Maricela Borrell-Tur,Testigo
146,2024-10-16,José María Ortuño-Campillo,Abogado
147,2023-08-09,Mohamed Villena-Giménez,Testigo
148,2024-09-25,Victorino Corominas Montoya,Testigo
149,2025-01-08,Marcio Agullo,Cliente
150,2024-04-20,Juan Bautista Crespo Barrena,Testigo
151,2023-12-17,Piedad Conde Alonso,Cliente
152,2023-02-02,Narciso Fuente,Cliente
153,2020-06-24,Abril Zaragoza Delgado,Abogado
154,2021-06-21,Baudelio Garcés Robles,Cliente
155,2023-06-20,Reinaldo Escribano-Elorza,Abogado
156,2022-11-23,Cristian Valero,Testigo
157,2022-05-07,Yéssica del Mulet,Abogado
158,2022-01-14,Timoteo Gaya Bellido,Cliente
159,2024-05-12,Itziar Vergara Castell,Cliente
160,2023-03-30,José Mari de Arce,Testigo
161,2023-06-27,Cebrián Porras Fernández,Cliente
162,2024-07-23,Teodora del Blazquez,Abogado
163,2024-05-01,Toño Agullo Pozo,Cliente
164,2023-11-19,Matías Romero Armengol,Cliente
165,2022-07-31,Octavia del Vizcaíno,Abogado
166,2022-06-16,Lina Doménech Segura,Abogado
167,2024-04-15,Heliodoro Costa-Llobet,Abogado
168,2024-11-22,Natalia Cordero Guardia,Abogado
169,2021-12-14,Ruperto Arroyo Córdoba,Abogado
170,2025-02-27,Rosalinda Aurelia Cepeda Saldaña,Cliente
171,2020-11-20,Joaquín Prieto Alcántara,Abogado
172,2024-02-16,Jordana Viñas Fuster,Abogado
173,2024-03-12,Agustina Fabregat-Fernández,Testigo
174,2023-07-16,Lucio Aragón,Abogado
175,2021-07-04,Benito Nicolau Berenguer,Testigo
176,2023-04-05,Abel de Durán,Abogado
177,2021-01-28,Mauricio Bernabé Niño Tello,Cliente
178,2024-02-22,Nicolás Tirado Jaume,Cliente
179,2021-09-19,Dorita Alcalá Escamilla,Cliente
180,2024-02-02,Fanny de Echeverría,Testigo
181,2021-08-11,Primitiva Pavón Flores,Abogado
182,2023-12-24,Agapito Lillo-Guardiola,Cliente
183,2024-06-16,Wálter Baena-Higueras,Testigo
184,2023-01-30,Tito Roldán Zaragoza Miranda,Testigo
185,2024-10-19,Hipólito Rivas Grande,Cliente
186,2024-05-09,Pepita Lago Abellán,Testigo
187,2020-11-24,Cornelio Caballero,Testigo
188,2022-07-23,Celestino Julián,Cliente
189,2024-10-02,Adalberto Albero Pérez,Cliente
190,2022-01-14,Adrián Navarrete,Testigo
191,2023-04-29,Hilario Huguet,Cliente
192,2023-12-12,Anastasio Barceló-Ríos,Testigo
193,2023-03-04,Noé Bárcena,Cliente
194,2021-11-08,Azucena Prieto Tudela,Abogado
195,2022-10-22,Belen Moliner Quintanilla,Cliente
196,2024-08-09,Sandalio del Rueda,Abogado
197,2023-12-22,Ildefonso del Sierra,Abogado
198,2023-10-25,Ani Casanovas,Cliente
199,2022-08-31,Aristides Galvez Rosell,Abogado
200,2024-05-03,Roque de Orozco,Abogado
201,2020-09-04,Timoteo Agustín-Tolosa,Testigo
202,2022-06-13,Sara Sáez,Testigo
203,2023-02-08,Lola Sierra Nebot,Testigo
204,2021-11-07,Isidora del Lara,Abogado
205,2022-07-04,Blas Villalonga Ropero,Cliente
206,2021-07-20,Georgina Nogueira,Abogado
207,2022-11-25,Ruth del Coca,Abogado
208,2021-08-30,Ruben Acevedo Bertrán,Testigo
209,2022-02-03,Alicia de Carlos,Abogado
210,2023-12-16,Chelo Carretero,Cliente
211,2020-11-19,Regina Estévez-Amador,Testigo
212,2023-06-17,Custodio Jódar Aliaga,Cliente
213,2022-10-19,Urbano Escamilla Huerta,Testigo
214,2022-06-27,Heraclio Jove Morcillo,Testigo
215,2023-12-09,Heliodoro de Carrera,Testigo
216,2024-08-07,Celso de Pou,Cliente
217,2021-03-23,Cristina Valencia-Trillo,Abogado
218,2023-08-24,Bárbara Comas,Abogado
219,2025-04-11,Georgina de Mata,Testigo
220,2021-10-06,Charo de Cervantes,Cliente
221,2021-05-19,Casandra Roxana Bellido Roman,Testigo
222,2023-10-06,Florentino Bueno-Mir,Cliente
223,2022-08-16,Jaime Lopez Cabeza,Testigo
224,2022-02-04,Teodora Encarnita Giner Pareja,Testigo
225,2023-04-23,Sancho Planas,Abogado
226,2021-11-12,Javier Polo Diéguez,Testigo
227,2024-09-15,Pelayo Arana Andreu,Cliente
228,2021-10-04,Norberto Font,Abogado
229,2022-09-24,Haydée Carbó Montaña,Cliente
230,2021-10-03,Iker Llorente Pera,Testigo
231,2022-06-07,Leandra Rebeca Bru Esparza,Testigo
232,2023-11-08,Yésica Cardona Dueñas,Testigo
233,2020-08-08,Roldán Font,Abogado
234,2021-01-17,Fabio Donaire,Abogado
235,2024-01-30,Chus Alarcón Cifuentes,Cliente
236,2024-01-22,Manu Company Maldonado,Testigo
237,2025-02-11,Eladio del Carro,Testigo
238,2021-06-24,Aureliano Mas Priego,Testigo
239,2024-06-20,Alfonso Galo Aragón Cisneros,Abogado
240,2024-03-22,Margarita del Rozas,Abogado
241,2021-12-24,Cayetano Fuster Abascal,Cliente
242,2021-11-29,Kike Duran Prada,Abogado
243,2023-12-17,Isabela Miró Bosch,Testigo
244,2023-08-16,Wilfredo Sastre Viña,Abogado
245,2022-10-25,Emilio Mosquera Capdevila,Cliente
246,2021-07-14,Gaspar Valera Lillo,Testigo
247,2022-04-01,Juanito Escamilla,Abogado
248,2021-03-28,Heraclio de Duarte,Cliente
249,2021-10-06,Abraham Hugo Gordillo Ramírez,Cliente
250,2024-03-08,Ceferino Oliva Palacios,Abogado
251,2022-05-10,José Antonio Jaén Uriarte,Abogado
252,2023-03-18,Anunciación Gonzalez Alberto,Cliente
253,2023-12-11,Cristóbal Soto Palma,Cliente
254,2023-05-08,Juan José Otero Agustí,Abogado
255,2021-05-21,Victoriano Cerro-Valencia,Cliente
256,2024-01-22,Benigna Arnaiz Sosa,Testigo
257,2023-11-01,Ascensión Giner-Piñeiro,Testigo
258,2023-06-02,Ema Fuentes Juliá,Cliente
259,2022-10-19,Aristides Daza-Costa,Abogado
260,2021-01-26,Aitor Reinaldo Lozano Amor,Cliente
261,2023-01-11,Gloria Bayón,Cliente
262,2023-03-21,Adelina Borrás Plana,Cliente
263,2020-12-05,Ana Belén Liliana Campoy Ledesma,Testigo
264,2021-11-28,Balduino de Miralles,Cliente
265,2024-06-09,Hipólito Alcolea-Segarra,Testigo
266,2024-02-15,Severo Mariño Antúnez,Cliente
267,2021-01-28,Leocadia Macias-Castell,Abogado
268,2021-10-09,Judith Alfonso Cabañas,Cliente
269,2022-01-19,Eliana Zorrilla Anglada,Testigo
270,2022-02-15,Alex de Narváez,Abogado
271,2024-08-15,Manolo Campo-Reig,Abogado
272,2023-02-16,Rómulo Cornejo Albero,Cliente
273,2021-03-23,Nando Vidal Villalobos Carreras,Cliente
274,2023-03-08,Rosalinda Nereida Alcántara Salvador,Abogado
275,2021-12-29,Sofía Mayol Lucas,Testigo
276,2024-02-08,Jessica Codina Enríquez,Cliente
277,2023-08-21,Rafaela Carbó Isern,Cliente
278,2020-11-30,Julia Barco Dávila,Cliente
279,2022-10-21,Rubén Barrera-Gutiérrez,Cliente
280,2022-02-13,Chema Peñalver Figueroa,Abogado
281,2023-12-05,Clotilde Andrade Guardiola,Testigo
282,2023-12-01,Óscar Doménech Osorio,Cliente
283,2022-06-28,Roldán Peláez Baquero,Abogado
284,2024-03-29,Luis Hernandez Criado,Abogado
285,2023-02-09,Carlos Escobar,Testigo
286,2021-05-13,Paola Iborra-Malo,Testigo
287,2024-02-28,Cesar Mayoral-Delgado,Cliente
288,2023-09-22,Natalia Lucena Valenciano,Cliente
289,2024-07-26,Jafet Aguado Vázquez,Testigo
290,2022-06-25,Esperanza del Barbero,Cliente
291,2021-10-02,Jose Carlos Cisneros Sobrino,Testigo
292,2024-06-07,Calista Edelmira Galán Batlle,Cliente
293,2022-11-13,Carlota del Pozo,Cliente
294,2024-07-07,Epifanio Alfonso Cobos,Abogado
295,2023-10-19,Ovidio Sanmiguel Sevillano,Abogado
296,2024-05-03,Pastora Roldán Criado,Testigo
297,2021-07-24,Paloma Rios Palomo,Testigo
298,2025-02-22,Pepito Zamorano,Cliente
299,2023-06-18,Fabricio Lopez Cerro,Cliente
300,2023-10-16,Osvaldo Prieto Morán,Abogado
301,2021-08-26,María Jesús Alejandra Lloret Baeza,Abogado
302,2024-08-12,Luisa Elías Reguera,Cliente
303,2021-07-02,Jafet de Pi,Testigo
304,2022-08-31,Evangelina Taboada Criado,Abogado
305,2024-01-20,Custodio Solana Batalla,Abogado
306,2021-05-17,Benito Correa-Company,Testigo
307,2023-05-03,Jaime de Flores,Abogado
308,2021-08-31,Cornelio del Coello,Cliente
309,2021-04-06,Carina Ledesma Esparza,Cliente
310,2023-01-21,Albino Navarrete Barceló,Abogado
311,2023-09-11,Ruperta de Figueras,Abogado
312,2024-08-24,Edu Larrea Pagès,Cliente
313,2021-08-09,Brunilda Atienza-Montesinos,Cliente
314,2022-09-20,Nazaret Torrecilla Mancebo,Testigo
315,2023-01-14,Rolando Ángel Checa Salvà,Abogado
316,2024-04-13,Juan José Estrada Palomino,Cliente
317,2023-04-13,Jeremías Asenjo Mosquera,Testigo
318,2024-01-26,Hernán Quirós Mayo,Abogado
319,2020-10-17,Almudena Puga Girona,Abogado
320,2024-06-08,Abel Palomino-Torrent,Abogado
321,2024-07-12,Sebastián Haro Rivera,Cliente
322,2021-12-19,Carmela Gallardo Riera,Cliente
323,2023-11-30,Dan Muro Palomo,Testigo
324,2023-06-07,Tamara de Alberdi,Abogado
325,2023-07-29,Severo Bertrán Mayoral,Testigo
326,2024-05-10,Simón Nogués Cabello,Testigo
327,2021-12-26,Rosendo Bernad-Bueno,Testigo
328,2024-04-03,Galo Manzanares Meléndez,Testigo
329,2025-03-19,Aitor Juan Francisco Pujadas Bou,Cliente
330,2024-01-23,Paca Morales Arjona,Cliente
331,2023-12-24,Evelia Carrillo Cid,Abogado
332,2023-02-03,Noé Martínez-Bravo,Abogado
333,2023-11-16,Mayte Lerma Noguera,Testigo
334,2022-10-06,Fito Ledesma Cuesta,Abogado
335,2022-02-21,Herminia Quero Peinado,Abogado
336,2023-11-29,Saturnina Mayo Pizarro,Abogado
337,2020-12-18,Hortensia Cerdán Quintanilla,Cliente
338,2021-07-04,Yéssica Dorotea Azorin Mancebo,Testigo
339,2023-03-31,Felisa de Río,Testigo
340,2021-01-29,Jacinto Juan Villegas,Testigo
341,2023-02-11,José Arenas Pallarès,Testigo
342,2023-02-01,Adolfo Porcel Amores,Cliente
343,2023-08-06,Martina Busquets Sabater,Abogado
344,2022-06-16,Natalia Fuente Coronado,Testigo
345,2024-11-02,Josep Ibarra Zapata,Abogado
346,2020-12-05,Gertrudis Casandra Bellido Varela,Abogado
347,2021-08-26,Malena de Moles,Abogado
348,2021-12-09,Alejandro de Paz,Testigo
349,2023-12-09,Saturnina Cámara,Testigo
350,2023-04-07,Armida Maite Huerta Nuñez,Cliente
351,2022-02-24,Valentín Checa Saura,Abogado
352,2023-12-12,Raimundo Ruano Porras,Cliente
353,2024-04-23,Donato Mata Fuster,Testigo
354,2022-02-01,Ariel Bolaños Galindo,Abogado
355,2024-11-26,Sancho Julián Cordero,Testigo
356,2021-01-08,Salud Sarmiento-Cazorla,Cliente
357,2022-04-14,Fidel Valentín Losa,Testigo
358,2021-08-03,Roberto Omar Vazquez Martínez,Testigo
359,2023-03-12,Cecilia Gonzalo Fonseca,Cliente
360,2022-06-23,Carmelita Requena-Marqués,Cliente
361,2021-12-20,Diana Agullo Prada,Abogado
362,2020-10-14,Custodia Parra Figueras,Cliente
363,2023-06-29,Eulalia Jover Benavente,Testigo
364,2024-06-07,Reyna Vazquez Vallejo,Cliente
365,2021-09-24,Asdrubal Ariza Galván,Testigo
366,2021-01-20,Amaya Bellido Belda,Cliente
367,2022-11-07,Anunciación Francisca Fabra Linares,Cliente
368,2023-11-12,Claudia Báez Anaya,Abogado
369,2024-09-29,Benjamín Cabanillas-Amor,Cliente
370,2022-03-16,María Dolores Quiroga Sureda,Abogado
371,2023-02-01,Casandra Galván Palacios,Cliente
372,2023-05-15,Eva Nicolau Herrero,Abogado
373,2023-10-18,Fabricio Felipe Barceló Tejero,Cliente
374,2022-09-29,Pastor Hernández Cazorla,Testigo
375,2023-01-09,Samu Aparicio Río,Abogado
376,2024-07-11,Nicolás del Pinilla,Cliente
377,2020-12-13,Lupe Borja Agustí,Cliente
378,2024-07-26,Eloísa Tapia Lladó,Cliente
379,2024-07-30,Yago Font Flores,Testigo
380,2024-03-12,Nicodemo Marqués-Blanca,Abogado
381,2023-11-22,Humberto Tovar Galvez,Testigo
382,2022-12-07,Heriberto Planas-Tomás,Cliente
383,2021-04-30,Florencia Malena Peral Coloma,Testigo
384,2020-12-26,Gil Terrón-López,Abogado
385,2024-09-08,Otilia Otero Ribera,Abogado
386,2023-09-16,Fernanda Soler Garmendia,Testigo
387,2022-08-06,María Manuela de Tamayo,Testigo
388,2021-01-12,Mario Aguilar Bernat,Cliente
389,2021-05-26,Begoña Donaire Vera,Abogado
390,2022-07-20,Néstor Morales,Cliente
391,2020-12-02,Patricia Salinas-Cabanillas,Abogado
392,2021-06-09,Paca Roman Zorrilla,Cliente
393,2022-10-15,Primitiva Pellicer Vallés,Cliente
394,2024-04-24,Antonia de Poza,Abogado
395,2023-10-03,Osvaldo Seco Villar,Abogado
396,2024-09-15,Luciana Arranz,Testigo
397,2025-02-05,Isabela Salcedo Herranz,Cliente
398,2024-06-21,Victorino Mascaró Manjón,Cliente
399,2022-03-21,Chuy Robles Vargas,Cliente
400,2024-01-24,Eva Sanabria,Testigo
401,2022-07-02,Petrona Mínguez Morales,Cliente
402,2023-04-09,Aristides Ernesto Corominas Rosales,Testigo
403,2022-08-31,Curro Losada Pi,Testigo
404,2024-08-03,Milagros Navas-Torrens,Abogado
405,2023-10-11,Heraclio Araujo Puente,Testigo
406,2023-03-01,Galo Casals Verdejo,Abogado
407,2024-10-16,Filomena Roig Merino,Testigo
408,2023-09-02,Leyre Requena-Losada,Cliente
409,2021-12-24,Abraham Bauzà Baños,Cliente
410,2023-10-07,Odalys Odalys Sotelo Lobo,Cliente
411,2024-05-27,Ovidio Leandro Perez Montoya,Abogado
412,2023-02-01,Isidro Gálvez Vélez,Abogado
413,2024-09-25,Victoria Seguí Donoso,Testigo
414,2020-07-03,Lalo Córdoba Vicente,Cliente
415,2023-03-13,Javier Ferreras Malo,Abogado
416,2024-03-31,Roldán Navarrete Miralles,Abogado
417,2022-11-17,Priscila Ibañez Niño,Testigo
418,2023-06-09,Edelmiro Báez Álvarez,Testigo
419,2023-10-18,Olimpia Moraleda Torrent,Abogado
420,2024-01-03,Sebastián Martínez Molina,Cliente
421,2022-12-16,Isidro Agapito Urrutia Valencia,Testigo
422,2021-07-07,Prudencia Franco Alemany,Testigo
423,2022-10-27,Asunción Iborra Pozo,Abogado
424,2024-01-27,Patricia Lourdes Correa Armengol,Cliente
425,2021-09-17,Lina Otero Villanueva,Abogado
426,2023-05-11,Malena Dafne Amor Neira,Testigo
427,2022-07-01,Vicenta Cuéllar Asensio,Abogado
428,2021-03-01,Isidora Diéguez Sebastián,Testigo
429,2023-08-20,Inés Llopis Luz,Cliente
430,2023-01-03,Ovidio Parra Crespo,Testigo
431,2020-10-27,Gilberto Lladó Pozo,Testigo
432,2023-03-27,Dimas Palacios Mayo,Testigo
433,2024-09-23,Tomasa Ocaña,Cliente
434,2024-05-30,Roberta Áurea Paredes Madrigal,Testigo
435,2021-10-13,Josep Jacinto Santiago Briones,Cliente
436,2022-07-27,Concha Rey Agustín,Abogado
437,2024-11-06,Leonor Aliaga Díez,Testigo
438,2022-06-30,Jacinta Leiva Rosales,Testigo
439,2023-10-28,Daniel Narváez Canales,Abogado
440,2023-12-22,Nerea Grau Taboada,Abogado
441,2023-10-19,Armando Zamorano Rico,Testigo
442,2022-12-13,Ámbar Coll-Neira,Testigo
443,2023-05-23,Fabio Sosa Corominas,Abogado
444,2021-02-28,Florencio Alcalde,Cliente
445,2023-04-16,Angelita Larrañaga-Bueno,Abogado
446,2020-12-12,Silvia Linares Almazán,Abogado
447,2022-06-03,Agustina Machado Coello,Abogado
448,2022-10-29,Sigfrido Gonzalo Chaves,Testigo
449,2023-05-02,Emigdio de Ferrera,Cliente
450,2023-01-22,Lupita Sanchez Cánovas,Testigo
451,2023-01-10,Valentín Trillo Diez,Testigo
452,2022-03-18,Ruperta Castillo Nieto,Cliente
453,2024-07-22,Virgilio Alfaro-Castell,Testigo
454,2020-08-22,Paulino Alberdi Balaguer,Abogado
455,2022-05-04,Ildefonso Uriarte,Abogado
456,2024-03-29,Aroa Cabeza Barros,Cliente
457,2025-02-27,Micaela Simó,Testigo
458,2024-03-12,Ciriaco Amador,Testigo
459,2021-04-24,Jose Luis Amando Pérez Crespi,Testigo
460,2022-01-13,Jordán Roda Méndez,Cliente
461,2022-10-20,Alejo Paz-Cáceres,Testigo
462,2023-11-20,Consuela del Almagro,Testigo
463,2021-02-14,Vidal Carvajal Pavón,Cliente
464,2024-05-16,Jesusa Ariza Peinado,Testigo
465,2021-05-31,Imelda Chacón Rey,Cliente
466,2023-12-05,Julián García Fuentes,Testigo
467,2024-02-12,Nilda Ayllón Boada,Cliente
468,2021-12-01,Maricela Benavent Pavón,Testigo
469,2023-05-29,Perlita de Coronado,Cliente
470,2025-01-26,Estefanía Abril-Casas,Abogado
471,2023-01-23,Lupe Juan Bárcena,Abogado
472,2023-11-08,Pío Moreno Fernandez Borja,Abogado
473,2021-08-13,Andrés Felipe Vicente Mesa,Testigo
474,2023-03-12,Calisto de Ribas,Abogado
475,2022-02-22,Marina Julián Tejero,Testigo
476,2023-11-26,Paco Aguilera Acuña,Testigo
477,2024-01-09,Severo Gomis Llanos,Abogado
478,2022-04-18,Gaspar Heliodoro Angulo Calzada,Testigo
479,2022-12-07,Iván Lerma Alcaraz,Abogado
480,2024-05-05,Pedro Codina Garzón,Abogado
481,2024-04-03,Jenny Aller,Abogado
482,2021-10-22,María Manuela Alegria Falcó,Abogado
483,2024-08-06,Martín Darío Bonet Feijoo,Testigo
484,2025-01-16,Marcelo Briones,Testigo
485,2023-11-13,Begoña Madrid Bárcena,Testigo
486,2023-12-07,Samu Rodrigo Alsina,Cliente
487,2024-05-11,Joel Cámara Escalona,Abogado
488,2021-07-29,Calisto Robledo Garmendia,Testigo
489,2023-02-19,Jose Luis Ballesteros Aznar,Abogado
490,2023-01-13,Nico Ávila Montes,Testigo
491,2021-03-01,Alfonso de Carreño,Cliente
492,2023-09-24,Claudio Cañas Mariño,Cliente
493,2024-03-27,Eladio de Hervás,Abogado
494,2022-01-27,María Fernanda Montero,Abogado
495,2023-10-18,Guiomar Pons Villanueva,Abogado
496,2024-07-29,Paco Méndez España,Testigo
497,2024-07-17,Dorita Izquierdo Ruano,Abogado
498,2023-09-09,Virgilio Diego Yáñez,Cliente
499,2024-07-17,Martirio Julián Goicoechea,Abogado
500,2022-09-27,Fortunata Expósito,Testigo
501,2020-12-10,Norberto Adadia Alegria,Testigo
502,2022-05-03,Anita Cerdán,Abogado
503,2022-06-05,Cristóbal Gabaldón-Linares,Cliente
504,2021-12-24,Fabiana Poza Nebot,Abogado
505,2023-09-08,Florencia Salcedo Hervia,Cliente
506,2021-07-24,Amaya del Osorio,Cliente
507,2022-01-28,Mohamed Salvador Tudela,Testigo
508,2023-07-26,Galo Montesinos,Abogado
509,2023-06-14,Natividad Iriarte Catalán,Testigo
510,2023-06-16,Victor Manuel Cases Cabeza,Testigo
511,2023-12-03,Manu Bosch Landa,Testigo
512,2022-06-26,Manuel Ocaña-Peralta,Testigo
513,2023-03-06,Yolanda Cueto Bertrán,Testigo
514,2022-04-21,Leire del Ripoll,Cliente
515,2021-03-19,Teobaldo Benítez Ribas,Cliente
516,2023-01-18,Tania Luque Morell,Testigo
